epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,6142.63,1.04827,0.6421,1.01176,0.7988,0.79909,0.84706,0.62086,1.08723,0.64777,1.04547,0.008515,0.008515,0.008515
62,6240.97,1.04649,0.64028,1.009,0.81122,0.80865,0.85248,0.6273,1.08938,0.64938,1.04752,0.00849025,0.00849025,0.00849025
63,6339.84,1.03992,0.63503,1.00556,0.78192,0.80728,0.84695,0.62383,1.08236,0.64435,1.03972,0.0084655,0.0084655,0.0084655
64,6440.23,1.03311,0.64254,1.00408,0.82404,0.80046,0.85806,0.63152,1.08342,0.63852,1.0431,0.00844075,0.00844075,0.00844075
65,6540.18,1.03569,0.64011,1.00829,0.81762,0.79416,0.85851,0.63793,1.07966,0.63691,1.04397,0.008416,0.008416,0.008416
66,6637.5,1.02979,0.63184,1.00422,0.81406,0.801,0.85162,0.63075,1.07175,0.63734,1.03686,0.00839125,0.00839125,0.00839125
67,6735.81,1.02417,0.62553,1.00566,0.83178,0.79643,0.86268,0.64532,1.06365,0.63673,1.03567,0.0083665,0.0083665,0.0083665
68,6834.1,1.02102,0.62926,1.00501,0.80606,0.82047,0.86032,0.64389,1.06085,0.63033,1.03797,0.00834175,0.00834175,0.00834175
69,6933.7,1.02646,0.61976,0.99878,0.82179,0.7923,0.8564,0.6425,1.05765,0.63482,1.02871,0.008317,0.008317,0.008317
70,7033.48,1.02051,0.62564,1.00089,0.84397,0.78613,0.86133,0.64085,1.0631,0.6317,1.03032,0.00829225,0.00829225,0.00829225
71,7131.26,1.01352,0.61918,0.99917,0.83892,0.79859,0.86753,0.64934,1.05495,0.62263,1.02772,0.0082675,0.0082675,0.0082675
72,7228.1,1.00164,0.6063,0.99141,0.84691,0.7948,0.8647,0.64878,1.05337,0.62386,1.02894,0.00824275,0.00824275,0.00824275
73,7324.57,0.993,0.60688,0.99202,0.82835,0.816,0.86374,0.64735,1.04783,0.62061,1.02696,0.008218,0.008218,0.008218
74,7421.24,0.98985,0.60338,0.98911,0.84177,0.80162,0.86348,0.65038,1.04069,0.62092,1.02438,0.00819325,0.00819325,0.00819325
75,7519.09,0.9954,0.6053,0.99441,0.84156,0.80152,0.86542,0.65028,1.03727,0.61606,1.02237,0.0081685,0.0081685,0.0081685
76,7617.64,0.99666,0.60011,0.99143,0.8417,0.79201,0.86339,0.65045,1.03243,0.61852,1.01863,0.00814375,0.00814375,0.00814375
77,7715.79,0.9872,0.59904,0.98997,0.82029,0.81826,0.86174,0.65499,1.03181,0.61839,1.02097,0.008119,0.008119,0.008119
78,7810.22,0.98902,0.59521,0.98991,0.84338,0.79825,0.86679,0.65763,1.02893,0.61226,1.0176,0.00809425,0.00809425,0.00809425
79,7907,0.98273,0.59254,0.99202,0.82966,0.81255,0.86893,0.65698,1.02882,0.61068,1.02035,0.0080695,0.0080695,0.0080695
80,8002.44,0.9853,0.59629,0.98738,0.83382,0.7987,0.86753,0.65402,1.02715,0.61468,1.01937,0.00804475,0.00804475,0.00804475
81,8100.09,0.97607,0.58803,0.98351,0.83283,0.81225,0.86661,0.65654,1.02513,0.61333,1.01766,0.00802,0.00802,0.00802
82,8196.42,0.97527,0.58631,0.98436,0.82876,0.82675,0.86543,0.65645,1.01754,0.60586,1.01431,0.00799525,0.00799525,0.00799525
83,8292.7,0.96776,0.58198,0.97999,0.81345,0.82725,0.86702,0.65746,1.02059,0.60785,1.0144,0.0079705,0.0079705,0.0079705
84,8392.4,0.9657,0.57801,0.98001,0.84614,0.80056,0.86142,0.65366,1.01896,0.61378,1.01473,0.00794575,0.00794575,0.00794575
85,8490.69,0.95697,0.57087,0.98079,0.83076,0.81236,0.86174,0.65441,1.01794,0.61147,1.01509,0.007921,0.007921,0.007921
86,8588.63,0.95878,0.56946,0.97974,0.84692,0.79881,0.86541,0.65877,1.01529,0.61199,1.01519,0.00789625,0.00789625,0.00789625
87,8687.49,0.95393,0.57038,0.98062,0.8319,0.81771,0.8672,0.66232,1.01256,0.61029,1.01455,0.0078715,0.0078715,0.0078715
88,8785.53,0.95627,0.57395,0.97641,0.82045,0.81458,0.86851,0.66281,1.01312,0.61353,1.01171,0.00784675,0.00784675,0.00784675
89,8885.99,0.9531,0.57183,0.97477,0.82514,0.82092,0.86866,0.66597,1.01238,0.60951,1.0117,0.007822,0.007822,0.007822
90,8985.65,0.9463,0.57221,0.97674,0.85086,0.80146,0.86681,0.66538,1.01274,0.61286,1.01314,0.00779725,0.00779725,0.00779725
91,9082.47,0.94353,0.55978,0.9743,0.83591,0.81197,0.86649,0.6653,1.01104,0.60938,1.0129,0.0077725,0.0077725,0.0077725
92,9182.36,0.93689,0.56107,0.96723,0.82402,0.82308,0.86743,0.66452,1.00486,0.60286,1.00925,0.00774775,0.00774775,0.00774775
93,9281.15,0.93796,0.56084,0.97217,0.83193,0.81748,0.86624,0.66181,1.00285,0.60035,1.00859,0.007723,0.007723,0.007723
94,9378.52,0.93982,0.56016,0.97284,0.84131,0.81267,0.86807,0.66614,0.9972,0.59985,1.00818,0.00769825,0.00769825,0.00769825
95,9478.28,0.93387,0.55634,0.97052,0.84591,0.81211,0.86968,0.67063,0.99356,0.59956,1.00615,0.0076735,0.0076735,0.0076735
96,9576.95,0.93062,0.54907,0.96882,0.85597,0.79714,0.86852,0.67067,0.98728,0.59888,1.00354,0.00764875,0.00764875,0.00764875
97,9677.42,0.92918,0.55511,0.96574,0.84853,0.81053,0.86727,0.66915,0.98664,0.60067,1.00174,0.007624,0.007624,0.007624
98,9776.48,0.92523,0.54752,0.96632,0.85446,0.80417,0.86682,0.66977,0.98546,0.59823,1.00242,0.00759925,0.00759925,0.00759925
99,9876.53,0.91792,0.54359,0.9621,0.85231,0.80757,0.8701,0.67286,0.98528,0.59835,1.00371,0.0075745,0.0075745,0.0075745
100,9975.7,0.92129,0.54838,0.96221,0.84974,0.80901,0.87275,0.67615,0.98408,0.59663,1.0026,0.00754975,0.00754975,0.00754975
101,10074,0.9142,0.54142,0.96045,0.85886,0.80434,0.87175,0.67831,0.98116,0.59748,1.00115,0.007525,0.007525,0.007525
102,10173.8,0.91507,0.53698,0.96526,0.85911,0.80102,0.8708,0.67901,0.97768,0.5971,1.00066,0.00750025,0.00750025,0.00750025
103,10272,0.90684,0.53889,0.95795,0.84616,0.8133,0.8716,0.67655,0.97747,0.59371,0.99995,0.0074755,0.0074755,0.0074755
104,10371.5,0.90858,0.5345,0.96133,0.84189,0.81169,0.86729,0.67331,0.97566,0.59439,0.999,0.00745075,0.00745075,0.00745075
105,10470.7,0.90613,0.53871,0.95848,0.84615,0.80905,0.86699,0.67122,0.97202,0.59106,0.99654,0.007426,0.007426,0.007426
106,10569.9,0.90209,0.5273,0.95755,0.84184,0.81596,0.86893,0.67531,0.96723,0.58751,0.99538,0.00740125,0.00740125,0.00740125
107,10670,0.90252,0.53043,0.95916,0.83239,0.82809,0.86996,0.67847,0.96398,0.58538,0.9947,0.0073765,0.0073765,0.0073765
108,10766.3,0.89062,0.52587,0.95375,0.83677,0.82811,0.86931,0.67805,0.96339,0.58688,0.99413,0.00735175,0.00735175,0.00735175
109,10863.9,0.89137,0.5262,0.95408,0.84549,0.81193,0.87073,0.68039,0.96018,0.5862,0.99234,0.007327,0.007327,0.007327
110,10962.2,0.89243,0.5274,0.95537,0.84589,0.81797,0.87101,0.68193,0.95832,0.58766,0.99144,0.00730225,0.00730225,0.00730225
111,11063.5,0.89145,0.52203,0.95614,0.85166,0.81736,0.87159,0.68224,0.95722,0.58632,0.99139,0.0072775,0.0072775,0.0072775
112,11162.7,0.87898,0.51803,0.95247,0.84806,0.81482,0.87192,0.68366,0.95493,0.58545,0.99097,0.00725275,0.00725275,0.00725275
113,11263.1,0.89209,0.5244,0.95348,0.86905,0.79744,0.87192,0.68311,0.95328,0.5853,0.99063,0.007228,0.007228,0.007228
114,11363.3,0.87846,0.51559,0.94809,0.85345,0.81171,0.87251,0.68477,0.95106,0.58646,0.98998,0.00720325,0.00720325,0.00720325
115,11460.1,0.87378,0.51157,0.94598,0.84555,0.81929,0.87294,0.68525,0.94803,0.58738,0.98862,0.0071785,0.0071785,0.0071785
116,11560.8,0.87073,0.51379,0.9478,0.84886,0.82335,0.87245,0.6837,0.94752,0.58641,0.98867,0.00715375,0.00715375,0.00715375
117,11661.5,0.87617,0.51274,0.94863,0.85981,0.81309,0.8734,0.6852,0.94546,0.58827,0.98801,0.007129,0.007129,0.007129
118,11761.8,0.87367,0.50863,0.94541,0.86028,0.81115,0.87295,0.68682,0.94397,0.58869,0.98688,0.00710425,0.00710425,0.00710425
119,11861.1,0.86623,0.51155,0.9457,0.85929,0.81342,0.87099,0.68399,0.94356,0.58981,0.98678,0.0070795,0.0070795,0.0070795
120,11961,0.86737,0.51093,0.94617,0.86025,0.81541,0.87203,0.68604,0.94185,0.58882,0.98698,0.00705475,0.00705475,0.00705475
121,12060.8,0.86389,0.50909,0.94519,0.85674,0.81642,0.87076,0.68685,0.94089,0.59035,0.98681,0.00703,0.00703,0.00703
122,12157.9,0.86017,0.50173,0.94241,0.86638,0.80979,0.8727,0.68857,0.94051,0.59014,0.98656,0.00700525,0.00700525,0.00700525
123,12258,0.8601,0.50673,0.94107,0.86763,0.80861,0.87358,0.68986,0.93915,0.58873,0.98572,0.0069805,0.0069805,0.0069805
124,12356.6,0.8602,0.50142,0.94403,0.86861,0.81201,0.87421,0.69068,0.9375,0.58727,0.98488,0.00695575,0.00695575,0.00695575
125,12453.9,0.8543,0.50025,0.93766,0.86771,0.81326,0.87466,0.69189,0.93652,0.58665,0.98415,0.006931,0.006931,0.006931
126,12549.4,0.851,0.49522,0.93617,0.86325,0.80908,0.87568,0.69306,0.93514,0.58742,0.98378,0.00690625,0.00690625,0.00690625
127,12646.4,0.85183,0.50284,0.94127,0.86229,0.81386,0.87573,0.69351,0.93307,0.58674,0.98327,0.0068815,0.0068815,0.0068815
128,12742.8,0.84421,0.49296,0.93759,0.85537,0.81504,0.87559,0.69318,0.93233,0.58764,0.98355,0.00685675,0.00685675,0.00685675
129,12839.5,0.85194,0.49482,0.94021,0.86156,0.81148,0.87487,0.69163,0.9312,0.58767,0.98339,0.006832,0.006832,0.006832
130,12935.5,0.84335,0.48952,0.9359,0.85739,0.81537,0.87406,0.6919,0.92979,0.58654,0.98315,0.00680725,0.00680725,0.00680725
131,13032.9,0.84121,0.49264,0.93414,0.85062,0.8198,0.87467,0.69281,0.92764,0.58445,0.98255,0.0067825,0.0067825,0.0067825
132,13129.7,0.8341,0.48824,0.93701,0.84948,0.82162,0.87409,0.69329,0.92666,0.58382,0.98241,0.00675775,0.00675775,0.00675775
133,13227.6,0.84066,0.4902,0.93457,0.84766,0.82299,0.87476,0.69467,0.92508,0.58257,0.98184,0.006733,0.006733,0.006733
134,13326.4,0.8301,0.48484,0.93319,0.85175,0.82279,0.87535,0.69506,0.92427,0.58161,0.98116,0.00670825,0.00670825,0.00670825
135,13420.6,0.83342,0.4879,0.93383,0.85372,0.82251,0.87587,0.69643,0.92296,0.58173,0.98053,0.0066835,0.0066835,0.0066835
136,13517.7,0.83256,0.4866,0.937,0.85043,0.82439,0.87537,0.6984,0.92155,0.58239,0.98011,0.00665875,0.00665875,0.00665875
137,13613.9,0.83298,0.48421,0.93334,0.85125,0.82245,0.87508,0.69782,0.92059,0.58197,0.97972,0.006634,0.006634,0.006634
138,13711.2,0.82646,0.47998,0.93183,0.85355,0.82442,0.87507,0.69699,0.91969,0.58187,0.97957,0.00660925,0.00660925,0.00660925
139,13809.4,0.82747,0.48591,0.92905,0.85537,0.823,0.87511,0.6961,0.91869,0.5809,0.97922,0.0065845,0.0065845,0.0065845
140,13906.5,0.81638,0.47365,0.92753,0.85321,0.82392,0.87429,0.69665,0.91793,0.58108,0.97916,0.00655975,0.00655975,0.00655975
141,14004.5,0.82245,0.47797,0.92996,0.85486,0.82265,0.87456,0.6963,0.91654,0.58175,0.97888,0.006535,0.006535,0.006535
142,14101.4,0.81676,0.47396,0.92695,0.86184,0.81681,0.87486,0.69677,0.91574,0.58117,0.97843,0.00651025,0.00651025,0.00651025
143,14198.5,0.81565,0.47368,0.92949,0.85445,0.82361,0.87457,0.69698,0.91457,0.5807,0.97814,0.0064855,0.0064855,0.0064855
144,14295,0.81183,0.47346,0.92649,0.85632,0.82084,0.87448,0.69608,0.91329,0.58056,0.97773,0.00646075,0.00646075,0.00646075
145,14396.1,0.81071,0.47006,0.92618,0.85204,0.82635,0.8744,0.69604,0.91201,0.58059,0.97758,0.006436,0.006436,0.006436
146,14497.1,0.80807,0.47017,0.92885,0.85424,0.82293,0.87444,0.69709,0.91113,0.5805,0.97747,0.00641125,0.00641125,0.00641125
147,14595.3,0.81135,0.47238,0.92554,0.85627,0.8215,0.87361,0.6967,0.90996,0.58061,0.97724,0.0063865,0.0063865,0.0063865
148,14694.1,0.80629,0.46968,0.92559,0.85357,0.82235,0.87343,0.69688,0.90873,0.58108,0.97685,0.00636175,0.00636175,0.00636175
149,14791.5,0.80826,0.47048,0.9268,0.85581,0.8207,0.87367,0.69683,0.90774,0.58084,0.97663,0.006337,0.006337,0.006337
150,14887.7,0.80318,0.46506,0.92211,0.854,0.82146,0.87368,0.69784,0.90643,0.58054,0.97631,0.00631225,0.00631225,0.00631225
151,14987.9,0.79742,0.46749,0.92531,0.85152,0.8235,0.87331,0.69825,0.90549,0.5801,0.97597,0.0062875,0.0062875,0.0062875
152,15087,0.79789,0.46267,0.92337,0.85176,0.82304,0.87352,0.69953,0.90457,0.57964,0.97587,0.00626275,0.00626275,0.00626275
153,15186.7,0.79576,0.46267,0.92645,0.85288,0.82201,0.87356,0.69781,0.90378,0.57915,0.97583,0.006238,0.006238,0.006238
154,15288.6,0.79689,0.46166,0.92418,0.8532,0.82278,0.87348,0.69812,0.90275,0.5789,0.97557,0.00621325,0.00621325,0.00621325
155,15387.7,0.79619,0.46147,0.92415,0.855,0.82184,0.87355,0.69958,0.90214,0.57882,0.97546,0.0061885,0.0061885,0.0061885
156,15488.1,0.78714,0.45838,0.92478,0.85986,0.81547,0.87319,0.69865,0.90136,0.57859,0.97527,0.00616375,0.00616375,0.00616375
157,15613.8,0.79346,0.46393,0.92092,0.86183,0.81511,0.87294,0.69793,0.90081,0.5787,0.97533,0.006139,0.006139,0.006139
158,15806,0.79198,0.45735,0.92094,0.85873,0.81697,0.87284,0.69717,0.90011,0.57872,0.9751,0.00611425,0.00611425,0.00611425
159,15979,0.78365,0.4578,0.92094,0.85917,0.81679,0.87333,0.69787,0.89946,0.57878,0.97491,0.0060895,0.0060895,0.0060895
160,16141.1,0.78406,0.45503,0.91885,0.86023,0.81578,0.87374,0.69861,0.89881,0.57839,0.9748,0.00606475,0.00606475,0.00606475
161,16299.4,0.79066,0.45483,0.91987,0.86234,0.81484,0.87359,0.6992,0.89829,0.57839,0.97465,0.00604,0.00604,0.00604
162,16457.2,0.77867,0.45304,0.91792,0.86371,0.8143,0.87415,0.70057,0.89767,0.57825,0.9745,0.00601525,0.00601525,0.00601525
163,16615,0.77971,0.4508,0.91851,0.86267,0.81473,0.87426,0.70072,0.89692,0.5781,0.97439,0.0059905,0.0059905,0.0059905
164,16774.3,0.78247,0.45066,0.91946,0.86443,0.81347,0.87456,0.70115,0.8966,0.57809,0.97437,0.00596575,0.00596575,0.00596575
165,16934.9,0.77133,0.44894,0.91625,0.8649,0.81316,0.8749,0.70139,0.89585,0.57845,0.97428,0.005941,0.005941,0.005941
166,17094.7,0.77813,0.44805,0.91699,0.86412,0.81416,0.87517,0.70093,0.89527,0.57866,0.97428,0.00591625,0.00591625,0.00591625
167,17256,0.77603,0.45206,0.91677,0.86654,0.8128,0.87546,0.7026,0.89488,0.57815,0.97421,0.0058915,0.0058915,0.0058915
